segment_id,direction,max_spots,sign_id
8241560,0,4,647
8241563,1,8,647
8238638,0,11,686
8235215,1,13,798
8241101,1,4,669
8242276,0,6,652
8242276,1,7,652
8241237,1,4,647
8235879,0,7,798
8234027,1,11,647
8237157,1,14,669
8242674,0,10,286
8237325,0,5,202
8242031,1,13,652
8240860,1,10,653
8236609,0,6,647
8236821,0,6,653
8239384,1,3,653
8239385,1,3,653
8240977,1,4,653
8240671,1,8,647
8240672,1,7,647
8235426,1,10,653
8235427,1,6,653
8241113,1,13,653
8234532,0,10,652
8235944,0,6,669
8235941,0,5,669
8235940,0,4,669
8242719,1,4,652
8242088,1,5,202
8238952,1,4,669
8238953,1,6,669
8235215,0,15,795
8236149,1,6,697
8235370,1,9,652
8241563,0,10,647
8238189,1,13,652
8235073,0,4,647
8235074,0,3,647
8242337,1,15,652
8242752,1,10,669
8241102,1,3,669
8242277,1,17,652
8240398,0,12,686
8238358,0,14,1052
8241486,0,2,731
8240698,1,3,1038
8242467,0,9,1038
8236415,1,4,798
8237610,1,11,1132
8235428,1,5,653
8237035,0,13,653
8236627,1,0,980
8236626,0,0,980
8237407,1,3,652
8241362,1,10,652
8235746,0,6,1059
8239922,0,21,652
8239920,0,2,652
8235028,0,7,653
8234235,1,7,799
8234136,1,0,980
8241779,1,0,980
8241779,0,0,980
8241780,1,0,980
8241780,0,0,980
8240935,0,0,980
8236172,0,0,980
8240228,1,11,1130
8242751,0,7,669
8241237,0,9,647
8242277,0,15,1029
8234389,0,30,653
8237158,1,4,669
8235347,0,4,231
8234352,0,4,1055
8235866,1,6,652
8234997,1,6,798
8240576,1,35,808
8238504,1,0,980
8240168,1,18,653
8234134,1,13,652
8241557,1,8,976
8239919,1,20,652
8241362,0,8,652
8241361,0,32,652
8239919,0,12,652
8234134,0,12,652
8242244,0,2,686
8242243,0,7,686
8242658,0,5,1029
8238018,1,5,202
8236911,0,9,1029
8240193,0,12,798
8234612,0,1,1038
8234608,0,7,1038
8236122,0,12,1052
8237618,0,24,1064
8234082,0,42,920
8241794,1,0,980
8237664,0,14,653
8240904,1,8,653
8240905,1,15,653
8241931,1,12,652
8241931,0,15,652
8239627,1,2,652
8239920,1,8,652
8242657,0,11,1029
8239588,1,7,652
8238142,1,12,798
8234610,0,5,1038
8234607,1,4,1038
8240252,0,6,1035
8242450,0,13,1029
8236123,0,1,1052
8234081,0,9,920
8238281,0,0,980
8241495,0,5,1003
8235045,0,0,980
8234405,0,0,980
8234405,1,0,980
8234325,1,0,980
8234326,1,0,1002
8234327,1,0,1002
8242030,0,0,980
8238731,0,0,980
8239320,1,0,980
8239083,1,0,980
8236710,1,0,980
8239320,0,0,980
8234260,0,0,980
8239146,0,0,980
8240142,0,0,985
8238852,0,0,1002
8238853,1,0,980
8235426,0,0,980
8236081,0,0,980
8238190,1,5,652
8237228,1,7,1038
8241510,1,0,980
8242697,0,11,1038
8237376,0,10,669
8236933,0,4,1029
8239835,0,3,669
8240735,0,7,974
8240311,1,2,202
8234322,1,2,630
8239796,0,4,632
8239640,0,3,632
8237172,0,0,980
8242273,1,17,630
8237078,1,7,632
8242619,0,2,669
8238398,1,6,647
8238399,1,7,647
8238735,0,4,647
8239170,0,8,630
8239874,1,12,652
8234400,0,0,980
8242505,1,15,634
8238351,0,1,733
8236522,0,3,1146
8241410,1,26,733
8235271,0,8,787
8235272,1,9,787
8235272,0,9,787
8238469,1,11,1140
8241955,1,17,787
8241355,0,21,653
8234169,0,8,795
8239023,0,14,1029
8238674,0,8,798
8237880,0,13,701
8237879,0,5,701
8239507,0,5,1035
8236922,1,17,653
8237390,0,18,1043
8240468,1,4,678
8238166,1,12,686
8238921,1,16,231
8235441,1,6,1055
8240827,1,3,1149
8236459,0,7,695
8241388,1,7,1003
8240330,1,7,686
8237010,0,3,652
8237010,1,3,652
8237011,1,1,652
8241420,0,4,697
8236431,1,4,216
8236431,0,4,216
8236795,1,9,669
8241891,0,17,1038
8241370,0,9,652
8241369,0,7,652
8239252,0,0,980
8240515,1,0,980
8241220,0,0,980
8234397,1,9,345
8234275,0,0,980
8235287,0,0,980
8236873,1,36,809
8241858,0,0,980
8240121,1,13,1130
8241674,0,3,671
8241673,0,7,671
8240121,0,15,1130
8241671,0,4,671
8237375,1,5,669
8237379,1,9,669
8239834,1,3,669
8239836,0,1,669
8239043,0,10,1029
8239835,1,0,980
8241697,1,0,980
8239590,1,2,671
8240475,0,3,976
8239364,0,9,787
8234890,0,5,1032
8239024,0,3,1029
8239025,0,7,1029
8236928,1,1,202
8242296,1,9,216
8237917,1,12,1035
8237648,0,12,652
8242428,0,4,1043
8242266,0,3,236
8235257,0,5,216
8238773,1,4,236
8235065,1,6,216
8239584,1,2,1038
8235066,1,3,216
8241417,1,9,630
8238925,1,13,647
8235914,1,10,697
8242399,0,4,216
8235441,0,0,980
8235442,0,6,1149
8240827,0,0,980
8241219,0,0,980
8234397,0,12,345
8238773,0,0,980
8242076,1,0,980
8235002,0,0,980
8238027,1,0,980
8236509,1,0,980
8237866,1,0,980
8240682,1,0,980
8239407,1,0,980
8241446,0,0,980
8236101,0,0,980
8236427,0,0,980
8238231,0,0,980
8238232,0,0,980
8241134,0,0,980
8235986,0,0,980
8241421,0,0,985
8237860,0,0,985
8234390,0,0,980
8236416,1,0,980
8236416,0,0,980
8237228,0,7,1038
8237376,1,8,669
8237377,1,4,669
8237378,1,0,980
8238078,1,5,1038
8235332,1,9,669
8241115,1,0,980
8239044,1,9,1029
8241114,0,0,980
8242787,0,2,681
8237451,0,16,920
8240735,1,7,974
8239413,1,6,231
8236960,1,1,216
8236430,1,4,216
8241220,1,0,980
8235099,0,4,236
8241119,1,0,980
8234276,0,0,980
8235287,1,0,980
8241607,1,0,980
8235001,0,0,980
8236573,0,0,980
8239403,0,0,980
8240088,0,0,980
8239414,1,0,980
8237293,0,0,980
8241999,1,0,980
8241999,0,0,980
8241784,1,0,980
8242256,0,0,980
8236101,1,0,980
8236426,0,0,980
8241133,0,0,980
8238971,0,0,980
8241422,0,0,985
8241000,1,0,985
8242609,1,9,1061
8236397,0,0,980
8242704,0,0,980
8238107,0,0,980
8242705,0,0,980
8238553,0,0,980
8239212,0,0,1002
8238602,1,1,730
8242795,1,1,976
8237962,0,7,976
8234125,0,5,976
8237368,0,0,980
8235002,1,13,236
8234213,0,1,652
8240312,0,8,202
8238783,1,14,286
8238784,1,8,286
8237520,0,7,1062
8242618,0,5,647
8236883,1,6,731
8235116,0,3,632
8238735,1,2,647
8239045,1,3,652
8234335,0,0,980
8236798,0,15,653
8350096,0,7,653
8235520,1,12,632
8240567,1,11,1050
8243057,0,7,631
8234881,1,2,1056
8236187,1,0,980
8238240,0,20,632
8241721,0,24,732
8234233,1,8,787
8241412,0,19,733
8239464,0,0,980
8239363,0,21,787
8239235,0,8,976
8234126,0,7,1041
8234918,1,2,1063
8241368,0,3,652
8241369,1,5,686
8241371,1,3,686
8241373,1,13,686
8241375,1,3,686
8242318,0,4,647
8242317,0,4,647
8236308,1,33,1038
8238655,1,2,669
8242591,0,0,980
8235274,1,4,787
8234127,0,2,976
8242765,0,2,976
8242889,1,8,1035
8240127,0,3,202
8237947,0,4,731
8236864,0,0,980
8235445,0,3,669
8235521,1,8,632
8235792,1,11,631
8235599,1,4,634
8239711,0,4,632
8238350,0,11,733
8234887,0,15,731
8238910,0,15,732
